date,all_complaints,noise_complaints,homeless_complaints
2012-02-07,5569,372,5
2012-02-08,6153,441,2
2012-02-09,5353,376,2
2012-02-10,4952,450,4
2012-02-11,3433,787,2
2012-02-12,3726,657,4
2012-02-13,6110,354,6
2012-02-14,5046,424,1
2012-02-15,5210,428,3
2012-02-16,5046,414,2
2012-02-17,4844,508,3
2012-02-18,2882,805,2
2012-02-19,2832,797,2
2012-02-20,3507,512,4
2012-02-21,5565,479,5
2012-02-22,5079,486,3
2012-02-23,5043,502,4
2012-02-24,4910,469,1
2012-02-25,3436,678,4
2012-02-26,3258,720,1
2012-02-27,5252,393,3
2012-02-28,5145,443,1
2012-02-29,5156,378,2
2012-03-01,5335,407,1
2012-03-02,4856,502,3
2012-03-03,2984,720,1
2012-03-04,3001,773,2
2012-03-05,6053,415,4
2012-03-06,5962,447,1
2012-03-07,5383,461,2
2012-03-09,5032,558,4
2012-03-10,3300,771,1
2012-03-11,2767,787,3
2012-03-12,5299,555,7
2012-03-13,5347,567,4
2012-03-14,5690,653,11
2012-03-15,5425,514,3
2012-03-16,4799,554,2
2012-03-17,3137,876,5
2012-03-18,2854,881,4
2012-03-19,5314,569,7
2012-03-20,5220,480,8
2012-03-21,5662,687,4
2012-03-22,5250,661,8
2012-03-23,4935,709,5
2012-03-24,3024,975,2
2012-03-25,3021,828,1
2012-03-26,6185,427,6
2012-03-27,6044,412,3
2012-03-28,5197,518,2
2012-03-29,5464,498,1
2012-03-30,4744,536,3
2012-03-31,3360,785,1
2012-04-01,2991,856,3
2012-04-02,5347,386,6
2012-04-03,5323,533,5
2012-04-04,4888,491,6
2012-04-05,4704,347,5
2012-04-06,4023,580,5
2012-04-07,2889,812,2
2012-04-08,2385,863,3
2012-04-09,5362,488,7
2012-04-10,4990,504,9
2012-04-11,4938,506,6
2012-04-12,4787,511,4
2012-04-13,4469,708,5
2012-04-14,2948,1026,2
2012-04-15,2846,1188,3
2012-04-16,5739,790,8
2012-04-17,5219,633,9
2012-04-18,5216,476,6
2012-04-19,5073,550,4
2012-04-20,4650,686,4
2012-04-21,3009,1013,3
2012-04-22,2723,697,2
2012-04-23,5869,367,4
2012-04-24,5860,477,6
2012-04-25,5541,516,4
2012-04-26,5336,510,5
2012-04-27,5080,494,3
2012-04-28,3463,893,1
2012-04-29,2499,927,1
2012-04-30,5272,438,6
2012-05-01,5329,524,7
2012-05-02,5066,442,2
2012-05-03,4896,478,5
2012-05-04,5061,660,3
2012-05-05,2688,1015,7
2012-05-06,2730,1040,3
2012-05-07,5297,558,6
2012-05-08,5100,462,1
2012-05-09,5377,494,3
2012-05-10,4921,528,5
2012-05-11,4801,689,5
2012-05-12,2979,1064,2
2012-05-13,2744,1331,1
2012-05-14,5344,597,7
2012-05-15,4762,476,8
2012-05-16,5564,597,9
2012-05-17,5008,531,9
2012-05-18,5133,937,7
2012-05-19,3177,1129,3
2012-05-20,2923,1187,5
2012-05-21,5668,458,5
2012-05-22,5629,470,6
2012-05-23,5760,634,10
2012-05-24,5171,513,5
2012-05-25,4941,785,3
2012-05-26,2978,1108,6
2012-05-27,2892,1343,1
2012-05-28,3655,1421,7
2012-05-29,6448,500,9
2012-05-30,6096,428,5
2012-05-31,5846,567,10
2012-06-01,5265,531,6
2012-06-02,3267,952,9
2012-06-03,2787,1014,1
2012-06-04,5552,463,12
2012-06-05,5421,497,8
2012-06-06,5347,642,7
2012-06-07,5106,666,6
2012-06-08,5038,737,5
2012-06-09,3466,1246,7
2012-06-10,2833,1126,3
2012-06-11,5692,592,15
2012-06-12,5031,413,9
2012-06-13,5923,487,5
2012-06-14,5502,645,4
2012-06-15,5114,755,11
2012-06-16,3562,1489,6
2012-06-17,3195,1469,2
2012-06-18,6067,666,10
2012-06-19,5854,561,8
2012-06-20,5940,457,7
2012-06-21,6868,475,8
2012-06-22,5982,393,8
2012-06-23,4039,1052,3
2012-06-24,3236,1038,3
2012-06-25,5962,392,12
2012-06-26,5625,489,10
2012-06-27,5469,401,4
2012-06-28,5945,663,8
2012-06-29,5660,516,8
2012-06-30,4334,957,3
2012-07-01,3659,883,5
2012-07-02,6441,431,12
2012-07-03,5881,541,17
2012-07-04,3187,926,7
2012-07-05,6309,516,5
2012-07-06,5645,437,7
2012-07-07,4133,868,5
2012-07-08,3483,758,5
2012-07-09,6165,431,14
2012-07-10,5961,393,13
2012-07-11,5840,500,12
2012-07-12,5632,464,20
2012-07-13,5273,542,12
2012-07-14,3289,937,8
2012-07-15,2874,847,10
2012-07-16,5809,339,13
2012-07-17,5792,385,16
2012-07-18,6006,279,5
2012-07-19,5734,432,8
2012-07-20,4612,497,8
2012-07-21,3303,1274,3
2012-07-22,3065,1282,7
2012-07-23,5266,389,19
2012-07-24,5674,439,11
2012-07-25,5408,489,4
2012-07-26,5635,385,11
2012-07-27,5406,442,10
2012-07-28,3325,925,10
2012-07-29,3048,1108,9
2012-07-30,5710,515,17
2012-07-31,5427,497,10
2012-08-01,5354,450,7
2012-08-02,5418,428,3
2012-08-03,5195,548,6
2012-08-04,3104,872,10
2012-08-05,2921,774,11
2012-08-06,5887,412,14
2012-08-07,5830,501,12
2012-08-08,5512,451,13
2012-08-09,5114,431,4
2012-08-10,5138,452,7
2012-08-11,3142,977,10
2012-08-12,3039,1212,12
2012-08-13,5716,469,10
2012-08-14,5627,479,16
2012-08-15,6004,398,6
2012-08-16,5341,311,7
2012-08-17,5105,674,7
2012-08-18,3664,1238,7
2012-08-19,3211,1347,8
2012-08-20,5350,554,12
2012-08-21,5571,612,11
2012-08-22,5256,523,14
2012-08-23,5078,574,10
2012-08-24,4995,724,14
2012-08-25,3652,1439,6
2012-08-26,3101,1326,9
2012-08-27,5327,487,14
2012-08-28,5075,443,11
2012-08-29,5438,518,10
2012-08-30,5321,629,10
2012-08-31,4309,690,8
2012-09-01,3318,1209,9
2012-09-02,3111,1409,7
2012-09-03,3099,1035,11
2012-09-04,5373,407,17
2012-09-05,5233,346,10
2012-09-06,5415,424,14
2012-09-07,4903,541,17
2012-09-08,4146,937,6
2012-09-09,3167,1063,9
2012-09-10,6121,513,13
2012-09-11,5638,525,7
2012-09-12,5446,641,10
2012-09-13,5315,588,11
2012-09-14,4877,772,8
2012-09-15,3615,1448,4
2012-09-16,3195,1383,6
2012-09-17,5121,594,12
2012-09-18,5990,392,6
2012-09-19,5727,476,12
2012-09-20,5063,472,6
2012-09-21,5257,814,9
2012-09-22,3484,1252,8
2012-09-23,3059,1209,7
2012-09-24,5475,552,8
2012-09-25,5601,537,14
2012-09-26,4941,570,8
2012-09-27,5482,606,13
2012-09-28,5579,686,6
2012-09-29,3378,1377,4
2012-09-30,3056,1242,9
2012-10-01,5204,561,6
2012-10-02,5046,451,11
2012-10-03,5597,567,11
2012-10-04,5416,545,9
2012-10-05,5029,728,7
2012-10-06,3222,1075,9
2012-10-07,2857,939,4
2012-10-08,4293,590,6
2012-10-09,5565,405,9
2012-10-10,5594,552,15
2012-10-11,6089,487,11
2012-10-12,6462,548,6
2012-10-13,4784,979,6
2012-10-14,3034,909,6
2012-10-15,5841,449,10
2012-10-16,5635,423,11
2012-10-17,6041,544,12
2012-10-18,5237,489,13
2012-10-19,4602,632,4
2012-10-20,3407,1135,6
2012-10-21,3005,973,7
2012-10-22,5422,523,6
2012-10-23,5329,504,12
2012-10-24,5346,487,10
2012-10-25,5247,611,14
2012-10-26,5041,803,7
2012-10-27,3766,1359,4
2012-10-28,2229,877,5
2012-10-29,6190,169,2
2012-10-30,6141,89,1
2012-10-31,7017,155,2
2012-11-01,6130,260,2
2012-11-02,7222,314,5
