date,stock_deviation,all_complaints,noise_complaints,homeless_complaints,tmin,tmax,tavg,prcp
2011-02-11,-2315.0575001779653,6257,424,2,-6.666666666666668,2.6,,False
2011-02-14,-1303.9421678489598,6532,406,2,2.6,14.6,,False
2011-02-15,-194.16440667174172,7339,384,2,-3.333333333333333,2.9666666666666663,,False
2011-02-16,2379.54301037782,6921,419,3,-3.7,7.966666666666666,,False
2011-02-17,1355.838213792711,6663,454,2,6.666666666666668,15.933333333333332,,False
2011-02-18,-96.07538027424015,6422,551,3,6.3,19.4,,True
2011-02-22,1698.3050790535199,7236,417,3,-8.500000000000002,1.6666666666666667,,False
2011-02-23,3260.386284181368,6880,411,2,-5.566666666666666,5.166666666666667,,False
2011-02-25,-2304.673695872072,6398,467,2,0.7666666666666667,13.5,,True
2011-02-28,-1487.5465411899934,6502,378,4,4.233333333333333,15.6,,True
2011-03-01,4419.530711981322,6942,400,3,0.6,8.133333333333333,,False
2011-03-02,319.7021814100008,6927,363,6,-3.7,12.233333333333334,,False
2011-03-03,-2505.749595489629,7222,425,8,-6.866666666666667,0.6,,False
2011-03-04,1439.149454450424,6094,502,7,-3.5,5.0,,False
2011-03-07,1647.1648859678098,7140,386,1,1.1,11.333333333333336,,True
2011-03-08,-1137.543380844334,6883,430,5,-1.7,8.533333333333333,,False
2011-03-10,988.4036390712137,6790,332,3,3.1333333333333333,11.1,,True
2011-03-11,-2592.2919131758827,6845,473,6,4.6000000000000005,12.800000000000002,,True
2011-03-14,-1116.7681645969133,6610,474,5,2.6,7.033333333333334,,False
2011-03-15,-4924.451746036911,7154,437,5,0.3666666666666667,7.566666666666666,,False
2011-03-16,5301.404427812609,6360,426,5,3.5,13.866666666666667,,True
2011-03-17,1600.5687076826143,6038,559,5,6.866666666666667,17.400000000000002,,False
2011-03-18,-618.900478870768,5690,655,5,9.466666666666667,25.0,,False
2011-03-21,-5118.765581064217,6479,375,4,2.4,7.566666666666667,,True
2011-03-22,-653.7969485646901,6746,364,4,4.6000000000000005,10.366666666666664,,False
2011-03-23,-4571.011299951031,6238,356,3,0.2,4.966666666666667,,True
2011-03-24,3456.651976856621,6194,345,2,-0.5666666666666668,6.866666666666667,,True
2011-03-25,700.680143673424,5836,461,3,-1.866666666666667,5.566666666666666,,False
2011-03-28,621.7087101759826,6748,384,3,-2.9666666666666663,7.566666666666667,,False
2011-03-29,-3898.8549392124546,6279,381,1,-0.2,9.633333333333333,,False
2011-03-30,-56.10679020351381,6251,436,7,2.566666666666667,10.733333333333333,,True
2011-03-31,-636.9292383168358,5593,365,4,2.7999999999999994,6.133333333333333,,True
2011-04-01,296.2601252385357,5915,486,4,1.5,6.866666666666667,,True
2011-04-04,-693.3201786034552,5799,437,9,6.5,15.366666666666665,,True
2011-04-05,-271.32890742865857,5553,414,5,5.2,16.3,,True
2011-04-06,905.4336822306141,5786,434,1,3.333333333333333,12.766666666666666,,True
2011-04-07,-272.89223733660043,6549,475,7,4.833333333333333,10.366666666666667,,True
2011-04-08,652.9956114000015,5792,492,8,4.833333333333333,9.233333333333334,,False
2011-04-11,283.3599221572004,5970,508,9,7.033333333333334,22.399999999999995,,True
2011-04-12,-1009.5116777138609,5873,362,4,7.6,21.66666666666667,,True
2011-04-13,822.657932994298,6078,378,5,6.466666666666666,11.300000000000002,,True
2011-04-14,-1720.6852628731724,5900,511,5,8.866666666666667,20.2,,False
2011-04-15,-2041.3689000200463,5510,545,7,5.0,12.933333333333332,,False
2011-04-18,-3393.2401401425736,6048,519,2,8.5,17.2,,False
2011-04-19,-1846.2201830805352,6253,490,5,8.133333333333335,12.066666666666668,,True
2011-04-20,322.2475519076906,6016,514,8,7.2333333333333325,17.766666666666673,,False
2011-04-21,781.0538621562591,5676,540,3,5.933333333333333,17.400000000000002,,False
2011-04-25,-766.5911688940541,6336,580,3,12.4,21.5,,False
2011-04-26,2365.121357587377,5832,617,7,11.5,25.2,,False
2011-04-27,-3436.03378626857,6092,547,10,14.066666666666668,20.933333333333334,,False
2011-04-28,88.19891396995081,6043,494,6,14.433333333333332,20.2,,True
2011-04-29,1259.8210997674178,5256,623,3,11.833333333333336,20.766666666666666,,False
2011-05-02,294.8806101413211,5809,531,4,9.8,16.099999999999998,,False
2011-05-03,1882.7728907005442,6088,518,9,11.866666666666665,21.5,,False
2011-05-04,129.87498234933446,5910,463,5,8.333333333333334,17.599999999999994,,True
2011-05-05,-1498.0927164287787,5826,557,7,8.133333333333335,18.133333333333333,,False
2011-05-06,3217.819217473174,5254,546,8,9.8,20.733333333333327,,False
2011-05-09,-3879.8611600315344,5759,564,4,12.4,21.133333333333336,,False
2011-05-10,-1106.0129216282803,5780,541,2,12.066666666666668,23.13333333333333,,False
2011-05-11,1093.6857453965276,6119,560,7,11.466666666666667,21.33333333333333,,False
2011-05-12,-831.9166527156995,5730,527,2,10.933333333333332,21.66666666666667,,False
2011-05-13,-2052.7826467250125,5336,648,7,10.733333333333334,18.3,,False
2011-05-16,-601.3215206306704,5666,509,5,12.433333333333332,16.7,,True
2011-05-17,-2672.577710323756,6437,453,7,11.133333333333333,16.3,,True
2011-05-18,-500.9611413031452,6106,430,1,13.333333333333336,19.8,,True
2011-05-19,-673.9776021335201,5994,391,4,14.833333333333336,22.8,,False
2011-05-20,-373.1499190774848,5680,840,6,13.5,18.33333333333333,,True
2011-05-23,1067.3373849128911,5588,515,4,12.800000000000002,18.3,,True
2011-05-24,-140.105916636654,6193,651,12,17.4,27.6,,False
2011-05-25,1870.1619001374274,5647,623,8,17.566666666666666,27.600000000000005,,False
2011-05-26,-1210.6996656092888,5762,686,4,16.666666666666668,24.633333333333336,,False
2011-05-27,-99.66268371407931,5394,726,6,17.233333333333334,27.23333333333333,,False
